resample,ari
259,0.46175637393767704
260,0.3450988510506159
261,0.5755894590846047
262,0.7325842696629213
263,0.5744089012517385
264,1.0
265,0.5441919191919192
266,0.6966618287373004
267,0.7979041916167665
268,0.38640025781501774
269,0.5521327014218009
270,0.45894334818586885
271,0.8716981132075472
272,0.5617631983598155
273,0.49473684210526314
274,0.5497931034482758
275,0.40764331210191085
276,0.38181818181818183
277,0.7253792381948737
278,0.8646127971867594
279,0.6462212486308871
280,0.6436704621567314
281,0.489945155393053
282,0.6707441386340469
283,0.5755894590846047
284,0.3953488372093023
285,0.4293125810635538
286,0.622107969151671
287,0.6028972686055513
288,0.4782608695652174
289,0.48034934497816595
290,0.4601226993865031
291,0.7860704519864886
292,0.8907045271899277
293,0.6271802325581395
294,0.8289845960389814
295,0.5681233933161953
296,0.5180412371134021
297,0.6936370777690495
298,0.2578680203045685
299,1.0
300,0.5565217391304348
301,0.6395759717314488
302,0.547486033519553
303,1.0
304,0.8495575221238938
305,0.682943966274372
306,0.6539923954372624
307,0.555878084179971
308,0.7825581395348837
309,0.7301587301587301
310,0.8544061302681992
311,0.7924773022049286
312,0.8410224438902744
313,0.7834529337273111
314,0.7389312977099237
315,0.5526315789473685
316,0.7222222222222222
317,1.0
318,1.0
319,0.6932989690721649
320,0.5648464163822525
321,0.668177065179505
322,0.860302677532014
323,0.8075949367088607
324,0.5811697854413638
325,0.41379310344827586
326,0.6536769327467001
327,0.5459558823529411
328,0.7604562737642585
329,1.0
330,0.46534653465346537
331,0.4298136645962733
332,1.0
333,0.4193340839633264
334,0.8136645962732919
335,0.6530612244897959
336,0.4807692307692308
337,0.7549909255898367
338,0.8574091332712023
339,0.8495575221238938
340,0.5641025641025641
341,0.7747671464860287
342,0.3952569169960474
343,0.834307992202729
344,1.0
345,0.6346153846153846
346,0.8539210661199385
347,0.6055776892430279
348,0.8140770252324038
349,0.4642857142857143
350,0.682068206820682
351,0.5862068965517241
352,0.754601226993865
353,0.5452631578947369
354,0.6926497020149466
355,0.8924050632911392
356,0.6222222222222222
357,0.5840336134453782
358,0.7417176619539987
359,0.8588791357191087
360,0.8479786167724691
361,0.860302677532014
362,0.646864024084295
363,0.5981087470449172
364,0.7029641185647426
365,0.7185185185185186
366,1.0
367,0.6298984034833092
368,0.8151727470403479
369,0.7985074626865671
370,0.8090042099836756
371,0.5023735472254052
372,0.8716938660664041
373,0.8006993006993007
374,0.727944193680755
375,0.47681575707837504
376,0.8966942148760331
377,0.8083441981747066
378,0.5925869198958493
379,0.574468085106383
380,0.5987685992816829
381,0.6028368794326241
382,0.7592778335005015
383,0.7184986595174263
384,0.8153187753758367
385,0.5266903914590747
386,0.6617210682492581
387,0.3431578947368421
388,1.0
389,0.7745153610701735
390,0.578710222472543
391,0.648964896489649
392,0.7861635220125787
393,0.73767258382643
394,0.7675574891236793
395,0.5057500969117457
396,0.6854838709677419
397,0.6357642762957704
398,0.6122448979591837
399,0.852760736196319
400,0.6955767562879445
401,0.6666666666666666
402,0.5576692829586272
403,0.5516931375486964
404,0.8674800168279344
405,0.5942028985507246
406,0.6447270007479432
407,0.6956521739130435
408,0.7131474103585658
409,0.28169014084507044
410,0.8716904276985743
411,0.504950495049505
412,1.0
413,0.5424929178470255
414,0.8627450980392157
415,1.0
416,0.8189349112426035
417,0.4084507042253521
418,0.5721409039729773
419,0.6953924914675768
420,0.49853372434017595
421,0.7427785419532325
422,0.7032967032967034
423,0.8419421487603306
424,0.7241379310344828
425,0.7860704519864886
426,0.40875912408759124
427,0.4742268041237113
428,1.0
429,0.7275985663082437
430,1.0
431,0.33626450932113966
432,0.7705660377358491
433,0.6852874309840857
434,0.7721179624664879
435,0.6674364896073903
436,0.8561151079136691
437,0.8789346246973365
438,0.5783289817232375
439,0.7818292931350581
440,0.7439024390243902
441,0.49191152195444043
442,1.0
443,0.7675276752767528
444,1.0
445,0.7155803415824329
446,0.34043601428747383
