draw,silhouette,k_selected,ortho_silhouette,sep_sil
48,0.2641605735,4,0.2903750837,-0.0092374664
49,0.1655915082,2,0.1752209961,0.0053307917
50,0.2340295017,5,0.2516768277,-0.0072980057
51,0.1554465890,4,0.1731116027,-0.0042176936
52,0.1687556505,4,0.2053607851,-0.0073137786
53,0.2021562308,5,0.2080591917,0.0063054999
54,0.1692867726,5,0.1452915221,-0.0029044221
55,0.1227249727,3,0.1341125667,-0.0106075769
56,0.2558310330,6,0.2617854178,0.0048696538
57,0.1541754007,5,0.1546505988,0.0000638233
58,0.1475979239,4,0.1655609608,-0.0050395099
59,0.1983930171,5,0.2262059152,-0.0044561606
60,0.2098669559,4,0.2694791257,-0.0019831685
61,0.1996899247,5,0.2146533877,-0.0070171175
62,0.2170324177,5,0.2383522391,0.0110724354
63,0.1936946809,5,0.2007495463,-0.0090131573
64,0.1132882163,4,0.1260343045,0.0010986360
65,0.1635072529,3,0.1689750701,-0.0033533229
66,0.1314217448,5,0.1273474842,-0.0005552222
67,0.1867566556,3,0.2111738771,-0.0066736862
68,0.1657327414,5,0.1648331136,0.0009185860
69,0.1404326558,4,0.1646168977,0.0009015683
70,0.1741198897,5,0.1690518260,-0.0009141730
71,0.1899032146,4,0.2392146736,-0.0005571060
72,0.2559508979,2,0.2903444171,-0.0078965845
73,0.2212705761,3,0.3198530078,0.0107618682
74,0.1357772648,4,0.1535693854,-0.0037655074
75,0.2459509373,5,0.2518956363,0.0202384535
76,0.1597962528,5,0.1592769027,0.0046403375
77,0.1268279701,3,0.1521862596,0.0043625738
78,0.2264115959,6,0.2093277723,0.0008489336
79,0.1375898868,5,0.1537433863,-0.0043902504
80,0.1665299684,4,0.2042564750,0.0137320952
81,0.2584501803,5,0.2897975445,-0.0102397641
82,0.1569718719,4,0.1612761319,0.0077329525
83,0.1386005133,3,0.1500157267,0.0081523145
84,0.1598422229,5,0.1593375653,-0.0054623461
85,0.1254792809,2,0.1372366101,-0.0066161430
86,0.1892203540,3,0.2117252797,-0.0047257491
87,0.1601334363,4,0.1582099944,-0.0028058165
88,0.1867048442,6,0.2028430700,0.0169127844
89,0.1228571385,2,0.1553013772,0.0023810056
90,0.1903061718,5,0.1915591955,0.0177544728
91,0.1867660880,5,0.2214091867,-0.0086358348
92,0.3808507323,3,0.3867181242,0.0044073374
93,0.1714797467,5,0.1882541925,0.0271587558
94,0.1483787000,5,0.1662395447,-0.0027274629
95,0.1587772965,5,0.1800626367,0.0134176891
96,0.1617775708,3,0.1759418994,-0.0035900027
97,0.1963772625,4,0.2364628762,-0.0109972786
98,0.1503950655,4,0.1619543135,0.0025022735
99,0.1268036813,4,0.1367725730,0.0020970209
100,0.1467871517,5,0.1404705197,-0.0101036467
101,0.2437455058,5,0.2669284344,-0.0096366042
102,0.1694761515,4,0.2278810889,0.0007820655
103,0.1574151665,4,0.1650328934,0.0005631077
104,0.1554246098,4,0.1794364452,0.0012963726
105,0.2400161922,4,0.2810847759,-0.0002868337
106,0.1528033018,4,0.1595268995,-0.0089061595
107,0.1272151917,4,0.1321716607,-0.0079333642
108,0.1678794175,5,0.1756714880,-0.0073014731
109,0.1283656061,5,0.1411650032,-0.0079598548
110,0.2030016184,5,0.2465057969,0.0219232850
111,0.1443704218,5,0.1557211429,-0.0061120722
112,0.1413307488,5,0.1739372015,0.0032890344
113,0.1503934264,2,0.1385440379,-0.0020044434
114,0.1520860791,4,0.1616607159,-0.0048580724
115,0.1987678707,4,0.2261393666,0.0054652118
116,0.2828669846,5,0.2972673476,-0.0126338983
117,0.1550896764,4,0.1760876179,-0.0074178097
118,0.1479955316,5,0.1607744992,-0.0025544609
119,0.1495440602,4,0.1777922362,0.0023048318
120,0.1817191094,5,0.1780428588,-0.0083544329
121,0.2080662251,5,0.2428843677,0.0111405263
122,0.1470977217,5,0.1544394344,0.0047929101
123,0.1358672827,4,0.1802964509,0.0011633323
124,0.1631808877,3,0.1745141894,0.0014373490
125,0.1965611726,3,0.2247881591,-0.0079235546
126,0.1830020100,5,0.2224096805,-0.0011101277
127,0.1385791004,5,0.1424828917,-0.0065444801
128,0.2455071807,5,0.2667414248,-0.0116627673
129,0.2070687115,5,0.2174854130,-0.0031799481
130,0.2111041844,4,0.2203093171,-0.0016954595
131,0.1146771088,4,0.1209272295,-0.0103249466
132,0.2135756612,5,0.2312831730,0.0078345221
133,0.1550297290,5,0.1571702212,-0.0016304118
134,0.1379941404,5,0.1456247866,-0.0023742628
135,0.1443483829,4,0.2148410082,-0.0009432733
136,0.2484153360,3,0.3026386201,-0.0039911103
137,0.1419970244,5,0.1425587684,-0.0043383040
138,0.2062634528,5,0.2252918184,0.0098047443
139,0.1309938133,4,0.1501338184,-0.0046324218
140,0.2200890929,4,0.2268406004,-0.0062952288
141,0.1749246567,4,0.2216358334,0.0006555154
142,0.1341209859,4,0.1654966772,-0.0061735781
143,0.2818999887,2,0.3600591421,0.0004874778
144,0.1392987072,3,0.1662299335,-0.0025699271
145,0.1594079286,2,0.1754350662,-0.0002094763
146,0.1424699873,4,0.1575074494,-0.0037575471
147,0.1813464463,5,0.1821174175,0.0021193391
148,0.1339596361,2,0.1487388462,0.0191988647
149,0.1667027622,5,0.1547556967,-0.0104874633
150,0.1262458116,4,0.1255739480,-0.0028303552
151,0.2476885766,5,0.3192678988,0.0025349976
152,0.1567482501,5,0.1656375527,0.0023107401
153,0.1795202345,4,0.1886330098,-0.0020971315
154,0.1765376776,5,0.1941443831,-0.0047174301
155,0.1761519164,3,0.1895241886,-0.0043952055
156,0.1603833735,3,0.1952106208,-0.0035055073
157,0.1895159334,4,0.2456457466,0.0043646088
158,0.1478616297,5,0.1512207240,-0.0096336445
159,0.2091234773,6,0.2508697212,-0.0073612258
160,0.1456185579,4,0.1919963807,-0.0067389887
161,0.1234375909,2,0.1339803189,0.0083881719
162,0.1635648012,5,0.1786730736,0.0092986533
163,0.1728408784,4,0.2027427256,0.0041489005
164,0.1436843276,2,0.1602207571,-0.0034818815
165,0.1677685380,4,0.2053182572,-0.0052501718
166,0.1537985802,5,0.1389464140,-0.0011789537
167,0.1670777202,4,0.1756146401,0.0123286154
168,0.1591665000,4,0.1489066184,-0.0040097879
169,0.1642747521,5,0.1818978488,0.0001753138
170,0.1623288840,5,0.2074186653,-0.0073017925
171,0.1908601373,5,0.1978532374,0.0035292788
172,0.1680888236,4,0.2139526457,0.0035476100
173,0.1646195948,4,0.1870001554,-0.0110217100
174,0.1625995040,4,0.1868056804,0.0017235111
175,0.2044683397,5,0.1961319000,-0.0061751958
176,0.1312829405,4,0.1563836634,0.0131139988
177,0.1594581157,5,0.1348301023,0.0103854639
178,0.1634551585,4,0.2210729271,-0.0080338009
179,0.2321308106,3,0.2643132806,0.0042829760
180,0.2274059802,5,0.2673056424,0.0129298503
181,0.2116106004,5,0.2244312316,-0.0046313363
182,0.1828163713,4,0.1932091564,-0.0011963323
183,0.2082396001,5,0.1965123117,-0.0062031350
184,0.2980645001,3,0.2968782783,-0.0150125604
185,0.2125141919,5,0.2088303268,-0.0006753777
186,0.1543094516,4,0.1687200069,0.0164966807
187,0.1519814581,4,0.1870619506,-0.0049343235
188,0.2153155357,4,0.2383575290,0.0076897126
189,0.2488208711,3,0.2467911243,0.0023503918
190,0.1440467089,5,0.1515783817,0.0008567735
191,0.1474549621,5,0.1400016397,-0.0066185300
192,0.2521127462,5,0.3047152758,-0.0049165306
193,0.2012449652,5,0.2295291126,-0.0094565637
194,0.1627590656,4,0.1716921031,0.0152790649
195,0.1729139388,5,0.2173262239,-0.0050720745
196,0.1519872099,2,0.1729828268,-0.0005977007
197,0.1486050338,5,0.1644407660,-0.0072945305
198,0.1610705256,4,0.1853089035,-0.0029578893
199,0.1284112781,4,0.1448399276,0.0144570936
200,0.1534022391,4,0.1769114882,0.0029276679
201,0.1773906201,4,0.2143748999,-0.0068267747
202,0.1396418512,3,0.1453336328,-0.0083284592
203,0.1787828803,5,0.1931868941,0.0010334328
204,0.2551650107,5,0.2912074029,-0.0103852823
